"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Running",,"",0,"normal",,,0.53,540,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Stretching",,"",0,"normal",,,,300,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Squat (Barbell)",,"",0,"warmup",,5,,,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Squat (Barbell)",,"",1,"warmup",165,3,,,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Squat (Barbell)",,"",2,"normal",225,3,,,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Squat (Barbell)",,"",3,"normal",250,3,,,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Squat (Barbell)",,"",4,"normal",260,3,,,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Pullover (Dumbbell)",,"",0,"normal",35,12,,,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Pullover (Dumbbell)",,"",1,"normal",35,12,,,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Pullover (Dumbbell)",,"",2,"normal",35,10,,,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Calf Press (Machine)",,"Single leg",0,"normal",230,24,,,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Calf Press (Machine)",,"Single leg",1,"normal",230,22,,,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Calf Press (Machine)",,"Single leg",2,"normal",230,22,,,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Leg Extension (Machine)",,"Single Leg",0,"normal",70,12,,,
"Leg","19 Jan 2026, 08:30","19 Jan 2026, 10:25","","Leg Extension (Machine)",,"Single Leg",1,"normal",70,12,,,
